Title,Release Date,Color/B&W,Genre,Language,Country,Rating,Lead Actor,Director Name,Lead Actor FB Likes,Cast FB Likes,Director FB Likes,Movie FB Likes,IMDb Score (1-10),Total Reviews,Duration (min),Gross Revenue,Budget
The Social Network,21-06-2010,Color,Biography,English,USA,Teens,Andrew Garfield,David Fincher,10000,10555,21000,74000,7.7,556.0,120,96917897,40000000
The Sorcerer's Apprentice,13-04-2010,Color,Action,English,USA,Parental Guidance,Nicolas Cage,Jon Turteltaub,12000,13388,226,11000,6.1,235.0,109,63143812,150000000
The Spy Next Door,28-09-2010,Color,Action,English,USA,Parental Guidance,Madeline Carroll,Brian Levant,1000,3436,32,0,5.4,97.0,94,24268828,28000000
The Switch,02-06-2010,Color,Comedy,English,USA,Teens,Caroline Dhavernas,Josh Gordon,544,1292,8,0,6.1,181.0,101,27758465,19000000
The Tempest,13-12-2010,Color,Comedy,English,USA,Teens,Djimon Hounsou,Julie Taymor,3000,3785,278,0,5.4,92.0,110,263365,20000000
The Tourist,26-12-2010,Color,Action,English,USA,Teens,Johnny Depp,Florian Henckel von Donnersmarck,40000,55175,207,25000,6.0,321.0,103,67631157,100000000
The Town,15-08-2010,Color,Crime,English,USA,Over 18,Jeremy Renner,Ben Affleck,10000,14296,0,29000,7.6,378.0,150,92173235,37000000
The Twilight Saga: Eclipse,01-11-2010,Color,Adventure,English,USA,Teens,Robert Pattinson,David Slade,21000,52547,171,29000,4.9,293.0,124,300523113,68000000
The Virginity Hit,21-10-2010,Color,Comedy,English,USA,Over 18,Matt Bennett,Huck Botko,189,768,10,974,4.6,46.0,86,535249,3400000
The Warrior's Way,18-09-2010,Color,Action,English,New Zealand,Over 18,Tony Cox,Sngmoo Lee,624,2056,19,0,6.3,95.0,100,5664251,45000000
The Wolfman,06-11-2010,Color,Drama,English,USA,Over 18,Anthony Hopkins,Joe Johnston,12000,13071,394,0,5.8,357.0,119,61937495,150000000
Tiny Furniture,07-12-2010,Color,Comedy,English,USA,Unrated,Lena Dunham,Lena Dunham,969,2530,969,0,6.3,113.0,98,389804,65000
Toy Story 3,07-02-2010,Color,Adventure,English,USA,General,Tom Hanks,Lee Unkrich,15000,19085,125,30000,8.3,453.0,103,414984497,200000000
Trollhunter,17-04-2010,Color,Comedy,Norwegian,Norway,Teens,Otto Jespersen,AndrÃ© Ã˜vredal,29,44,12,38000,7.0,337.0,103,252652,19900000
TRON: Legacy,05-01-2010,Color,Action,English,USA,Parental Guidance,Jeff Bridges,Joseph Kosinski,12000,25550,364,30000,6.8,469.0,125,172051787,170000000
True Grit,20-03-2010,Color,Adventure,English,USA,Teens,Matt Damon,Ethan Coen,13000,25964,1000,36000,7.7,493.0,110,171031347,38000000
Trust,28-02-2010,Color,Crime,English,USA,Over 18,Noah Emmerich,David Schwimmer,617,916,0,10000,7.0,109.0,106,58214,9500000
Unstoppable,02-02-2010,Color,Action,English,USA,Teens,Denzel Washington,Tony Scott,18000,25780,12000,18000,6.8,316.0,98,81557479,100000000
Valentine's Day,22-04-2010,Color,Comedy,English,USA,Teens,Bradley Cooper,Garry Marshall,14000,45696,0,9000,5.7,186.0,125,110476776,52000000
Vampires Suck,16-12-2010,Color,Comedy,English,USA,Teens,Diedrich Bader,Jason Friedberg,759,2898,82,16000,3.5,122.0,82,36658108,20000000
Wall Street: Money Never Sleeps,19-03-2010,Color,Drama,English,USA,Teens,Frank Langella,Oliver Stone,903,1579,0,13000,6.3,297.0,136,52474616,70000000
Why Did I Get Married Too?,18-09-2010,Color,Comedy,English,USA,Teens,Michael Jai White,Tyler Perry,2000,6657,0,0,4.4,40.0,121,60072596,20000000
Wild Target,23-05-2010,Color,Action,English,UK,Teens,Rupert Grint,Jonathan Lynn,10000,11770,36,0,6.9,68.0,98,117190,8000000
Winter's Bone,08-01-2010,Color,Drama,English,USA,Over 18,Jennifer Lawrence,Debra Granik,34000,34446,81,20000,7.2,365.0,100,6531491,2000000
Yogi Bear,27-11-2010,Color,Adventure,English,USA,Parental Guidance,Justin Timberlake,Eric Brevig,3000,4394,40,0,4.6,143.0,80,100169068,80000000
You Again,08-10-2010,Color,Comedy,English,USA,Parental Guidance,Jamie Lee Curtis,Andy Fickman,2000,4813,99,0,5.8,91.0,105,25677801,20000000
You Will Meet a Tall Dark Stranger,18-06-2010,Color,Comedy,English,USA,Over 18,Anthony Hopkins,Woody Allen,12000,19310,11000,0,6.3,223.0,98,3247816,22000000
1911,11-11-2011,Color,Action,Mandarin,China,Over 18,Bingbing Li,Li Zhang,974,1887,0,0,6.0,63.0,121,127437,18000000
30 Minutes or Less,01-10-2011,Color,Action,English,Germany,Over 18,Bianca Kajlich,Ruben Fleischer,731,1987,181,0,6.1,220.0,83,37053924,28000000
5 Days of War,24-11-2011,Color,Action,English,Georgia,Over 18,Richard Coyle,Renny Harlin,567,708,212,0,5.6,74.0,113,17149,20000000
50/50,23-04-2011,Color,Comedy,English,USA,Over 18,Joseph Gordon-Levitt,Jonathan Levine,23000,39807,129,40000,7.7,327.0,100,34963967,8000000
A Better Life,19-09-2011,Color,Drama,English,USA,Teens,DemiÃ¡n Bichir,Chris Weitz,749,2214,129,0,7.2,94.0,98,1754319,10000000
A Dangerous Method,28-05-2011,Color,Biography,English,UK,Over 18,Michael Fassbender,David Cronenberg,13000,23755,0,36000,6.5,345.0,99,5702083,15000000
A Separation,14-07-2011,Color,Drama,Persian,Iran,Teens,Shahab Hosseini,Asghar Farhadi,786,2501,0,48000,8.4,354.0,123,7098492,500000
A Very Harold & Kumar 3D Christmas,14-01-2011,Color,Adventure,English,USA,Over 18,Patton Oswalt,Todd Strauss-Schulson,786,2462,12,21000,6.3,161.0,90,35033759,19000000
Abduction,09-04-2011,Color,Action,English,USA,Teens,Ken Arnold,John Singleton,327,561,309,13000,5.0,180.0,106,28064226,35000000
Albert Nobbs,15-01-2011,Color,Drama,English,UK,Over 18,Mia Wasikowska,Rodrigo GarcÃ­a,3000,4370,127,0,6.7,222.0,113,3014541,8000000
Alvin and the Chipmunks: Chipwrecked,29-08-2011,Color,Adventure,English,USA,General,Amy Poehler,Mike Mitchell,1000,4073,31,0,4.4,91.0,87,133103929,75000000
Anonymous,20-02-2011,Color,Drama,English,UK,Teens,Vanessa Redgrave,Roland Emmerich,898,2452,776,15000,6.9,288.0,130,4463292,30000000
Another Earth,21-08-2011,Color,Drama,English,USA,Teens,Robin Lord Taylor,Mike Cahill,574,1303,135,21000,7.0,242.0,92,1316074,100000
Apollo 18,18-08-2011,Color,Horror,English,USA,Teens,Warren Christie,Gonzalo LÃ³pez-Gallego,520,1520,17,0,5.2,228.0,86,17683670,5000000
Arthur Christmas,06-08-2011,Color,Adventure,English,UK,Parental Guidance,Jim Broadbent,Sarah Smith,1000,2707,6,0,7.1,190.0,97,46440491,100000000
Attack the Block,23-02-2011,Color,Action,English,UK,Over 18,John Boyega,Joe Cornish,1000,2011,115,18000,6.6,399.0,88,1024175,13000000
Bad Teacher,02-11-2011,Color,Comedy,English,USA,Over 18,Justin Timberlake,Jake Kasdan,3000,5547,52,16000,5.7,286.0,97,100292856,20000000
Battle Los Angeles,05-02-2011,Color,Action,English,USA,Teens,Noel Fisher,Jonathan Liebesman,833,4001,473,25000,5.8,355.0,116,83552429,70000000
Beastly,06-03-2011,Color,Drama,English,USA,Teens,Alex Pettyfer,Daniel Barnz,15000,17396,33,16000,5.6,148.0,86,27854896,17000000
Bernie,29-01-2011,Color,Comedy,English,USA,Teens,Matthew McConaughey,Richard Linklater,11000,11328,0,15000,6.8,231.0,99,9203192,5000000
"Big Mommas: Like Father, Like Son",28-07-2011,Color,Action,English,USA,Teens,Brandon T. Jackson,John Whitesell,918,3500,14,0,4.4,88.0,113,37911876,32000000
Bridesmaids,30-10-2011,Color,Comedy,English,USA,Over 18,Matt Lucas,Paul Feig,722,3229,176,27000,6.8,371.0,131,169076745,32500000
Bucky Larson: Born to Be a Star,03-07-2011,Color,Comedy,English,USA,Over 18,Don Johnson,Tom Brady,982,2603,105,0,3.3,49.0,97,2331318,10000000
Captain America: The First Avenger,28-10-2011,Color,Action,English,USA,Teens,Chris Evans,Joe Johnston,11000,19761,394,46000,6.9,510.0,124,176636816,140000000
Cars 2,27-05-2011,Color,Adventure,English,USA,General,Joe Mantegna,John Lasseter,1000,4482,487,10000,6.3,304.0,106,191450875,200000000
Colombiana,11-01-2011,Color,Action,English,France,Teens,Jordi MollÃ ,Olivier Megaton,877,3432,118,15000,6.4,201.0,112,36665854,40000000
Contagion,09-11-2011,Color,Drama,English,USA,Teens,Matt Damon,Steven Soderbergh,13000,13634,0,42000,6.6,436.0,106,75638743,60000000
Courageous,11-06-2011,Color,Drama,English,USA,Teens,Ben Davies,Alex Kendrick,690,2300,589,10000,7.0,34.0,129,34522221,2000000
"Crazy, Stupid, Love.",12-05-2011,Color,Comedy,English,USA,Teens,Ryan Gosling,Glenn Ficarra,33000,57426,43,44000,7.4,310.0,118,84244877,50000000
Diary of a Wimpy Kid: Rodrick Rules,17-11-2011,Color,Comedy,English,USA,Parental Guidance,Zachary Gordon,David Bowers,975,3567,42,0,6.6,103.0,99,52691009,21000000
Dolphin Tale,26-03-2011,Color,Drama,English,USA,Parental Guidance,Morgan Freeman,Charles Martin Smith,11000,14209,188,0,6.9,131.0,113,72279690,37000000
Dream House,18-02-2011,Color,Drama,English,USA,Teens,Naomi Watts,Jim Sheridan,6000,8018,260,0,6.0,174.0,84,21283440,55000000
Drive,02-10-2011,Color,Crime,English,USA,Over 18,Ryan Gosling,Nicolas Winding Refn,33000,34337,0,81000,7.8,676.0,100,35054909,15000000
Drive Angry,13-09-2011,Color,Action,English,USA,Over 18,Nicolas Cage,Patrick Lussier,12000,16481,71,15000,5.5,296.0,104,10706786,50000000
Extremely Loud & Incredibly Close,27-07-2011,Color,Adventure,English,USA,Teens,Tom Hanks,Stephen Daldry,15000,15595,335,39000,6.9,283.0,129,31836745,40000000
Fast Five,12-07-2011,Color,Action,English,USA,Teens,Paul Walker,Justin Lin,23000,55345,681,54000,7.3,342.0,132,209805005,125000000
Final Destination 5,03-07-2011,Color,Horror,English,USA,Over 18,Emma Bell,Steven Quale,703,3074,77,20000,5.9,277.0,92,42575718,40000000
Fort McCoy,14-12-2011,Color,Drama,English,USA,Over 18,Johnny Pacar,Kate Connor,1000,4374,27,348,5.9,8.0,100,73678,3000000
Friends with Benefits,07-12-2011,Color,Comedy,English,USA,Over 18,Mila Kunis,Will Gluck,15000,20956,87,41000,6.6,238.0,109,55802754,35000000
Fright Night,07-08-2011,Color,Comedy,English,USA,Over 18,Grace Phipps,Craig Gillespie,596,1393,44,23000,6.4,358.0,106,18298649,30000000
Ghost Rider: Spirit of Vengeance,26-10-2011,Color,Action,English,USA,Teens,Nicolas Cage,Mark Neveldine,12000,16121,83,18000,4.3,287.0,96,51774002,57000000
Glee: The 3D Concert Movie,23-06-2011,Color,Documentary,English,USA,Parental Guidance,Lea Michele,Kevin Tancharoen,2000,4617,64,0,5.4,67.0,84,11860839,9000000
Go for It!,28-11-2011,Color,Drama,English,USA,Teens,Jossara Jinaro,Carmen Marron,847,1668,29,566,3.9,8.0,105,178739,2450000
Green Lantern,15-07-2011,Color,Action,English,USA,Teens,Ryan Reynolds,Martin Campbell,16000,17657,258,24000,5.6,436.0,123,116593191,200000000
Hall Pass,09-12-2011,Color,Comedy,English,USA,Over 18,Jenna Fischer,Bobby Farrelly,966,3393,101,10000,5.9,237.0,111,45045037,36000000
Hanna,13-06-2011,Color,Action,English,USA,Teens,Jessica Barden,Joe Wright,157,257,456,38000,6.8,417.0,111,40247512,30000000
Happy Feet 2,14-08-2011,Color,Animation,English,Australia,Parental Guidance,Robin Williams,George Miller,49000,62644,750,0,5.9,156.0,100,63992328,135000000
Haywire,25-04-2011,Color,Action,English,Ireland,Over 18,Channing Tatum,Steven Soderbergh,17000,31187,0,0,5.8,394.0,93,18934858,23000000
Headhunters,25-10-2011,Color,Crime,Norwegian,Norway,Over 18,Aksel Hennie,Morten Tyldum,286,385,77,23000,7.6,284.0,100,1196752,30300000
Hobo with a Shotgun,17-06-2011,Color,Action,English,Canada,Unrated,Gregory Smith,Jason Eisener,694,1249,59,37000,6.1,272.0,86,703002,3000000
Hoodwinked Too! Hood vs. Evil,06-01-2011,Color,Animation,English,USA,Parental Guidance,Amy Poehler,Mike Disa,1000,5393,6,0,4.8,77.0,86,10134754,30000000
Hop,04-09-2011,Color,Adventure,English,USA,Parental Guidance,Gary Cole,Tim Hill,989,2558,25,0,5.5,156.0,95,108012170,63000000
Horrible Bosses,12-03-2011,Color,Comedy,English,USA,Over 18,Kevin Spacey,Seth Gordon,18000,18669,91,31000,6.9,340.0,106,117528646,35000000
Hugo,14-06-2011,Color,Adventure,English,USA,Parental Guidance,ChloÃ« Grace Moretz,Martin Scorsese,17000,36017,17000,42000,7.5,682.0,126,73820094,170000000
I Am Number Four,01-12-2011,Color,Action,English,USA,Teens,Alex Pettyfer,D.J. Caruso,15000,15608,154,27000,6.1,288.0,109,55092830,60000000
I Don't Know How She Does It,03-07-2011,Color,Comedy,English,USA,Teens,Olivia Munn,Douglas McGrath,2000,5470,41,0,4.9,169.0,89,9639242,24000000
Immortals,23-11-2011,Color,Action,English,USA,Over 18,Henry Cavill,Tarsem Singh,15000,16691,763,30000,6.1,284.0,110,83503161,75000000
In the Land of Blood and Honey,23-11-2011,Color,Drama,Bosnian,USA,Over 18,Jelena Jovanova,Angelina Jolie Pitt,306,796,11000,0,4.3,110.0,127,301305,13000000
In Time,10-08-2011,Color,Action,English,USA,Teens,Matt Bomer,Andrew Niccol,20000,34011,487,52000,6.7,360.0,109,37553932,40000000
J. Edgar,27-02-2011,Color,Biography,English,USA,Over 18,Leonardo DiCaprio,Clint Eastwood,29000,36258,16000,16000,6.6,392.0,137,37304950,35000000
Jack and Jill,29-09-2011,Color,Comedy,English,USA,Parental Guidance,Al Pacino,Dennis Dugan,14000,27405,221,0,3.4,156.0,91,74158157,79000000
"Jeff, Who Lives at Home",30-05-2011,Color,Comedy,English,USA,Over 18,Judy Greer,Jay Duplass,2000,3374,157,0,6.5,182.0,83,4244155,10000000
Johnny English Reborn,28-06-2011,Color,Action,English,USA,Parental Guidance,Daniel Kaluuya,Oliver Parker,219,661,32,17000,6.3,152.0,101,8129455,45000000
Jumping the Broom,22-10-2011,Color,Comedy,English,USA,Teens,Gary Dourdan,Salim Akil,1000,5959,70,0,5.7,52.0,112,37295394,6600000
Just Go with It,08-02-2011,Color,Comedy,English,USA,Teens,Adam Sandler,Dennis Dugan,11000,16325,221,19000,6.4,204.0,117,103028109,80000000
Justin Bieber: Never Say Never,09-09-2011,Color,Documentary,English,USA,General,Usher Raymond,Jon M. Chu,569,714,209,62000,1.6,84.0,115,73000942,13000000
Kill List,11-06-2011,Color,Crime,English,UK,Unrated,MyAnna Buring,Ben Wheatley,513,1269,214,0,6.3,255.0,95,26297,500000
Killer Elite,25-08-2011,Color,Action,English,UK,Over 18,Jason Statham,Gary McKendry,26000,49608,5,17000,6.5,189.0,116,25093607,35000000
Killer Joe,26-03-2011,Color,Crime,English,USA,Over 18,Matthew McConaughey,William Friedkin,11000,11853,607,12000,6.7,376.0,98,1987762,11000000
Kung Fu Panda 2,09-04-2011,Color,Action,English,USA,Parental Guidance,Angelina Jolie Pitt,Jennifer Yuh Nelson,11000,21015,90,20000,7.3,284.0,90,165230261,150000000
L!fe Happens,09-10-2011,Color,Comedy,English,USA,Over 18,Justin Kirk,Kat Coiro,945,2924,28,995,5.7,18.0,100,20186,930000
Larry Crowne,02-02-2011,Color,Comedy,English,USA,Teens,Tom Hanks,Tom Hanks,15000,16827,15000,0,6.1,218.0,98,35565975,30000000
Le Havre,04-06-2011,Color,Comedy,French,Finland,Unrated,Jean-Pierre LÃ©aud,Aki KaurismÃ¤ki,232,391,592,0,7.2,205.0,93,611709,3850000
Like Crazy,22-12-2011,Color,Drama,English,USA,Teens,Jennifer Lawrence,Drake Doremus,34000,34983,52,12000,6.7,206.0,90,3388210,250000
Machine Gun Preacher,10-01-2011,Color,Action,English,USA,Over 18,Gerard Butler,Marc Forster,18000,19620,395,21000,6.8,134.0,129,537580,30000000
Margaret,20-08-2011,Color,Drama,English,USA,Over 18,Matt Damon,Kenneth Lonergan,13000,14638,50,0,6.5,116.0,186,46495,14000000
Margin Call,14-09-2011,Color,Biography,English,USA,Over 18,Kevin Spacey,J.C. Chandor,18000,22834,78,21000,7.1,290.0,107,5354039,3500000
Mars Needs Moms,15-06-2011,Color,Action,English,USA,Parental Guidance,Elisabeth Harnois,Simon Wells,921,2652,25,0,5.4,132.0,88,21379315,150000000
Melancholia,25-08-2011,Color,Drama,English,Denmark,Over 18,Alexander SkarsgÃ¥rd,Lars von Trier,10000,15835,3000,50000,7.1,439.0,130,3029870,7400000
Midnight in Paris,11-12-2011,Color,Comedy,English,Spain,Teens,Kurt Fuller,Woody Allen,617,1289,11000,78000,7.7,487.0,94,56816662,17000000
Mission: Impossible - Ghost Protocol,20-07-2011,Color,Action,English,USA,Teens,Tom Cruise,Brad Bird,10000,21768,663,35000,7.4,432.0,133,209364921,145000000
Moneyball,14-10-2011,Color,Biography,English,USA,Teens,Philip Seymour Hoffman,Bennett Miller,22000,53094,152,27000,7.6,419.0,133,75605492,50000000
Monte Carlo,22-03-2011,Color,Adventure,English,Hungary,Parental Guidance,Leighton Meester,Thomas Bezucha,3000,4257,15,6000,5.8,94.0,109,23179303,20000000
Mr. Popper's Penguins,21-03-2011,Color,Comedy,English,USA,Parental Guidance,Madeline Carroll,Mark Waters,1000,2820,70,14000,6.0,189.0,94,68218041,55000000
My Week with Marilyn,23-04-2011,Color,Biography,English,UK,Over 18,Eddie Redmayne,Simon Curtis,13000,17204,64,17000,7.0,386.0,99,14597405,6400000
New Year's Eve,10-06-2011,Color,Comedy,English,USA,Teens,Robert De Niro,Garry Marshall,22000,23456,0,20000,5.7,200.0,113,54540525,56000000
Newlyweds,26-10-2011,Color,Comedy,English,USA,Unrated,Kerry BishÃ©,Edward Burns,296,690,0,413,6.4,14.0,95,4584,9000
No Strings Attached,26-10-2011,Color,Comedy,English,USA,Over 18,Natalie Portman,Ivan Reitman,20000,22739,425,24000,6.2,245.0,108,70625986,25000000
One Day,11-07-2011,Color,Drama,English,USA,Teens,Anne Hathaway,Lone Scherfig,11000,17627,92,49000,7.0,221.0,107,13766014,15000000
Our Idiot Brother,08-06-2011,Color,Comedy,English,USA,Over 18,Zooey Deschanel,Jesse Peretz,11000,15710,37,11000,6.4,179.0,90,24809547,5000000
Paranormal Activity 3,04-09-2011,Color,Horror,English,USA,Over 18,Johanna Braddy,Henry Joost,581,2371,24,24000,5.8,251.0,94,104007828,5000000
Paul,16-01-2011,Color,Adventure,English,USA,Over 18,Bobby Lee,Greg Mottola,176,390,99,42000,7.0,342.0,109,37371385,40000000
Pirates of the Caribbean: On Stranger Tides,18-11-2011,Color,Action,English,USA,Teens,Johnny Depp,Rob Marshall,40000,54083,252,58000,6.7,448.0,136,241063875,250000000
Priest,29-03-2011,Color,Action,English,USA,Teens,Josh Wingate,Scott Stewart,865,1417,124,20000,5.7,225.0,87,29136626,60000000
Prom,07-07-2011,Color,Comedy,English,USA,Parental Guidance,Cameron Monaghan,Joe Nussbaum,1000,5190,18,0,5.4,83.0,104,10106233,8000000
Puss in Boots,30-01-2011,Color,Action,English,USA,Parental Guidance,Salma Hayek,Chris Miller,4000,5046,50,16000,6.7,246.0,90,149234747,130000000
Rango,11-09-2011,Color,Adventure,English,USA,Parental Guidance,Johnny Depp,Gore Verbinski,40000,43291,563,26000,7.2,362.0,107,123207194,135000000
Real Steel,03-12-2011,Color,Action,English,USA,Teens,Hugh Jackman,Shawn Levy,20000,22254,189,36000,7.1,327.0,127,85463309,110000000
Red Riding Hood,17-04-2011,Color,Fantasy,English,USA,Teens,Gary Oldman,Catherine Hardwicke,10000,15369,308,20000,5.4,291.0,100,37652565,42000000
Rio,10-05-2011,Color,Adventure,English,USA,General,Anne Hathaway,Carlos Saldanha,11000,12071,107,19000,7.0,240.0,96,143618384,90000000
Rise of the Planet of the Apes,03-12-2011,Color,Action,English,USA,Teens,James Franco,Rupert Wyatt,11000,13118,81,47000,7.6,529.0,105,176740650,93000000
Salvation Boulevard,26-12-2011,Color,Action,English,USA,Over 18,Jim Gaffigan,George Ratliff,472,561,3,1000,5.3,48.0,96,27445,9000000
Samsara,17-12-2011,Color,Documentary,None,USA,Teens,Collin Alfredo St. Dic,Ron Fricke,48,48,330,26000,8.5,115.0,102,2601847,4000000
Sanctum,15-04-2011,Color,Adventure,English,USA,Over 18,Ioan Gruffudd,Alister Grierson,2000,3892,24,11000,5.9,244.0,108,23070045,30000000
Scream 4,13-02-2011,Color,Horror,English,USA,Over 18,Alison Brie,Wes Craven,2000,4486,0,26000,6.2,420.0,111,38176892,40000000
Shame,30-11-2011,Color,Drama,English,UK,Adult,Michael Fassbender,Steve McQueen,13000,15230,0,23000,7.3,486.0,101,4000304,6500000
Shark Night 3D,20-03-2011,Color,Horror,English,USA,Teens,Chris Zylka,David R. Ellis,963,4952,160,0,4.0,231.0,90,18860403,25000000
Sherlock Holmes: A Game of Shadows,27-01-2011,Color,Action,English,USA,Teens,Robert Downey Jr.,Guy Ritchie,21000,22403,0,39000,7.5,382.0,129,186830669,125000000
Sholem Aleichem: Laughing in the Darkness,26-06-2011,Color,Documentary,English,USA,Unrated,Rachel Dratch,Joseph Dorman,399,660,0,287,6.8,29.0,93,906666,500000
Silent House,08-02-2011,Color,Drama,English,France,Over 18,Eric Sheffer Stevens,Chris Kentis,120,218,9,0,5.3,218.0,86,12555230,2000000
Snow Flower and the Secret Fan,10-01-2011,Color,Drama,English,China,Teens,Bingbing Li,Wayne Wang,974,2430,61,0,6.1,56.0,104,1346503,6000000
Something Borrowed,28-04-2011,Color,Comedy,English,USA,Teens,Ashley Williams,Luke Greenfield,969,2371,42,13000,5.9,128.0,112,39026186,35000000
Soul Surfer,20-05-2011,Color,Biography,English,USA,Parental Guidance,Dennis Quaid,Sean McNamara,2000,5024,80,15000,7.1,110.0,106,43853424,18000000
Source Code,20-09-2011,Color,Mystery,English,USA,Teens,Jake Gyllenhaal,Duncan Jones,15000,16034,0,56000,7.5,522.0,93,54696902,32000000
Spy Kids: All the Time in the World in 4D,30-11-2011,Color,Action,English,USA,Parental Guidance,Alexa PenaVega,Robert Rodriguez,2000,4311,0,0,3.6,76.0,89,38536376,27000000
Straw Dogs,01-12-2011,Color,Action,English,USA,Over 18,Alexander SkarsgÃ¥rd,Rod Lurie,10000,11431,37,7000,5.8,190.0,110,10324441,25000000
Sucker Punch,14-03-2011,Color,Action,English,USA,Teens,Jon Hamm,Zack Snyder,4000,7067,0,42000,6.1,435.0,128,36381716,82000000
Super 8,18-08-2011,Color,Mystery,English,USA,Teens,Joel Courtney,J.J. Abrams,1000,3388,14000,37000,7.1,539.0,112,126975169,50000000
Take Me Home Tonight,13-02-2011,Color,Comedy,English,USA,Over 18,Topher Grace,Michael Dowse,2000,5519,31,0,6.3,136.0,97,6923891,23000000
Take Shelter,13-10-2011,Color,Drama,English,USA,Over 18,Katy Mixon,Jeff Nichols,982,1520,337,14000,7.4,359.0,121,1729969,5000000
The Adjustment Bureau,09-09-2011,Color,Romance,English,USA,Teens,Matt Damon,George Nolfi,13000,14607,53,36000,7.1,413.0,106,62453315,50200000
The Adventures of Tintin,28-08-2011,Color,Action,English,USA,Parental Guidance,Toby Jones,Steven Spielberg,2000,4631,14000,44000,7.4,440.0,107,77564037,135000000
The Artist,05-02-2011,Black and White,Comedy,English,France,Teens,BÃ©rÃ©nice Bejo,Michel Hazanavicius,996,4606,405,30000,8.0,576.0,100,44667095,15000000
The Beaver,03-02-2011,Color,Drama,English,USA,Teens,Jennifer Lawrence,Jodie Foster,34000,34705,0,17000,6.7,276.0,91,958319,21000000
The Best Exotic Marigold Hotel,17-06-2011,Color,Comedy,English,UK,Teens,Tom Wilkinson,John Madden,1000,1898,108,48000,7.3,264.0,124,46377022,10000000
The Big Year,20-01-2011,Color,Comedy,English,USA,Parental Guidance,Joel McHale,David Frankel,734,2085,64,11000,6.2,108.0,100,7204138,41000000
The Change-Up,03-06-2011,Color,Comedy,English,USA,Over 18,Ryan Reynolds,David Dobkin,16000,28045,71,13000,6.4,215.0,118,37035845,52000000
The Darkest Hour,14-11-2011,Color,Action,English,USA,Teens,Max Minghella,Chris Gorak,614,843,21,0,4.9,195.0,89,21426805,30000000
The Descendants,17-01-2011,Color,Comedy,English,USA,Over 18,Shailene Woodley,Alexander Payne,8000,9578,729,22000,7.3,549.0,115,82624961,20000000
The Devil's Double,23-02-2011,Color,Biography,English,Belgium,Over 18,Mem Ferda,Lee Tamahori,31000,35561,93,14000,7.1,167.0,109,1357042,15000000
The Dilemma,25-10-2011,Color,Comedy,English,USA,Teens,Channing Tatum,Ron Howard,17000,18510,2000,0,5.3,185.0,111,48430355,70000000
The Divide,15-07-2011,Color,Drama,English,Germany,Over 18,Michael Biehn,Xavier Gens,2000,4920,87,0,5.8,174.0,122,22000,3000000
The Flowers of War,04-12-2011,Color,Drama,Mandarin,China,Over 18,Christian Bale,Yimou Zhang,23000,23240,611,13000,7.6,136.0,146,9213,94000000
The FP,10-03-2011,Color,Comedy,English,USA,Over 18,Clifton Collins Jr.,Brandon Trost,968,2046,32,0,5.6,66.0,82,40557,60000
The Girl with the Dragon Tattoo,10-12-2011,Color,Crime,English,USA,Over 18,Robin Wright,David Fincher,18000,20388,21000,54000,7.8,517.0,158,102515793,90000000
The Greatest Movie Ever Sold,08-03-2011,Color,Comedy,English,USA,Teens,Quentin Tarantino,Morgan Spurlock,16000,32405,293,0,6.6,130.0,90,638476,1500000
The Green Hornet,16-04-2011,Color,Action,English,USA,Teens,Christoph Waltz,Michel Gondry,11000,13391,1000,14000,5.8,447.0,119,98780042,120000000
The Grey,02-02-2011,Color,Action,English,USA,Over 18,Liam Neeson,Joe Carnahan,14000,16606,248,32000,6.8,408.0,117,51533608,25000000
The Guard,02-10-2011,Color,Comedy,English,Ireland,Over 18,Don Cheadle,John Michael McDonagh,3000,3569,51,17000,7.3,261.0,96,5359774,6000000
The Hangover Part II,09-11-2011,Color,Comedy,English,USA,Over 18,Bradley Cooper,Todd Phillips,14000,16143,480,56000,6.5,383.0,102,254455986,80000000
The Help,16-02-2011,Color,Drama,English,USA,Teens,Emma Stone,Tate Taylor,15000,23227,150,75000,8.1,373.0,146,169705587,25000000
The Ides of March,13-04-2011,Color,Drama,English,USA,Over 18,Ryan Gosling,George Clooney,33000,57077,0,22000,7.1,421.0,101,40962534,12500000
The Innkeepers,10-06-2011,Color,Horror,English,USA,Over 18,Lena Dunham,Ti West,969,1252,243,0,5.5,292.0,101,77501,750000
The Iron Lady,14-04-2011,Color,Biography,English,UK,Teens,Meryl Streep,Phyllida Lloyd,11000,12894,58,18000,6.4,331.0,105,29959436,13000000
The Lincoln Lawyer,06-03-2011,Color,Crime,English,USA,Over 18,Matthew McConaughey,Brad Furman,11000,13943,65,25000,7.3,274.0,118,57981889,40000000
The Mechanic,27-05-2011,Color,Action,English,USA,Over 18,Jason Statham,Simon West,26000,27834,165,16000,6.6,252.0,93,29113588,40000000
The Muppets,27-08-2011,Color,Adventure,English,USA,Parental Guidance,Bill Cobbs,James Bobin,970,1336,33,26000,7.1,398.0,103,88625922,45000000
The Raid: Redemption,19-04-2011,Color,Action,Indonesian,Indonesia,Over 18,Iko Uwais,Gareth Evans,1000,1445,338,51000,7.6,481.0,102,4105123,1100000
The Rite,26-06-2011,Color,Drama,English,USA,Teens,Anthony Hopkins,Mikael HÃ¥fstrÃ¶m,12000,19904,101,23000,6.0,267.0,114,33037754,37000000
